sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,52,24,179,19.03587485658475,1.0,19.020446980504044,2465.7200836602474,132746.479
2:Orthofoto,3000,52,24,185,19.51518888512798,1.0,37.51453688304218,4863.2056836086485,132746.47733333334
4:Orthofoto,2400,60,25,206,23.271001532516586,1.0,63.85865950030599,8372.6443024855,134258.81208333332
8:Orthofoto,4800,119,27,435,46.98288733926827,1.0,66.08020484863502,8512.89974275613,131918.61854166666
16:Orthofoto,4800,240,30,1059,97.90583102368065,1.0,65.00013541694878,8430.85798380244,132818.16291666665
32:Orthofoto,9600,485,27,1957,199.18604608947888,1.0,64.64733531764738,8394.102904847625,132960.79927083335
64:Orthofoto,9600,969,25,4194,407.80585418802656,1.0,64.19558254147637,8306.326072914646,132496.31145833334
TOTAL,37200,434,24,4194,423.9156701803038,1.0,51.6802327277577,6699.1120759477135,132737.22666666665
