sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,228,25,4759,292.1781658963509,1.0,4.367352583652999,528.5035294805398,123916.63
2:Orthofoto,3000,229,24,4816,295.6413523246255,1.0,8.320828976454827,1006.9229351256168,123916.63
4:Orthofoto,2400,249,24,5177,310.41433909530053,1.0,14.940425055092817,1828.2474669851622,125306.03375
8:Orthofoto,4800,479,39,10486,619.2697395015572,1.0,16.085413545928883,1934.471925481599,123148.79229166667
16:Orthofoto,4800,959,42,20927,1245.1403237485363,1.0,15.92636709612558,1928.4243426018706,123989.76583333334
32:Orthofoto,9600,1908,42,42146,2488.183067541419,1.0,15.996160921378868,1938.8467373299159,124115.971875
64:Orthofoto,9600,3757,41,84489,4917.643392439688,1.0,16.034447337697152,1936.6718536781518,123680.71916666666
TOTAL,37200,1700,24,84489,3155.9378980271,1.0,12.372154404486968,1497.0692595313399,123907.19284946237
