sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,89,19,208,27.275894508195716,1.0,11.149307813806558,2536.9439210141227,233003.754
2:Orthofoto,3000,90,18,1393,36.66229117984249,1.0,21.538262723728703,4900.875067643607,233003.754
4:Orthofoto,2400,100,18,1480,50.3297430959484,1.0,38.55421686746988,8868.79204317269,235555.11666666667
8:Orthofoto,4800,196,32,2058,88.23717867768815,1.0,39.254491777001775,8880.24600759329,231651.755
16:Orthofoto,4800,381,30,19259,913.2789607811819,1.0,39.38881685841362,8965.574468968998,233080.07166666666
32:Orthofoto,9600,744,33,23228,1852.712517933728,1.0,39.27665493822109,8951.08814681184,233367.99625
64:Orthofoto,9600,1480,19,64071,3644.975501112936,1.0,38.9755915358007,8852.59175075642,232582.8446875
TOTAL,37200,669,18,64071,2170.060590804091,1.0,30.858718500465372,7021.236312308741,232989.1302419355
