sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:AVWMS,3000,80,16,900,89.64715596343999,0.0,12.38226529416135,1638.395636012477,135493.554
2:AVWMS,3000,79,16,1608,93.7634378778139,0.0,25.010004001600638,3309.271804424895,135493.554
4:AVWMS,2400,85,16,1650,107.1249410605309,0.0,42.67652968686096,5668.746933319034,136018.48375
8:AVWMS,4800,161,18,2593,190.54088956933435,0.0,46.913025205977505,6174.934912377098,134784.17395833333
16:AVWMS,4800,310,17,25108,913.543222322673,0.0,46.01888691817266,6109.259690630842,135941.6175
32:AVWMS,9600,605,20,49182,1928.7590374703204,0.0,46.60691918554409,6181.05689116374,135803.91854166667
64:AVWMS,9600,1203,20,64494,3396.21586592419,1.0416666666666667E-4,46.80620767329267,6168.0015034894395,134940.0828125
TOTAL,37200,546,16,64494,2058.803071667448,2.6881720430107527E-5,35.90085573356932,4748.132358748047,135430.96497311827
