sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:AVWMS,3000,110,33,638,66.09642723492868,0.0,9.063553638110431,1163.945479255225,131502.523
2:AVWMS,3000,103,34,664,67.22936996333273,0.0,19.179746188025444,2463.0713029540807,131502.523
4:AVWMS,2400,116,36,791,78.58660411074982,0.0,32.295395214898946,4144.20887425317,131401.70166666666
8:AVWMS,4800,224,43,1399,151.91864605985572,0.0,34.98440278709076,4475.5840157493585,131001.17958333333
16:AVWMS,4800,446,38,2866,325.58756166069935,0.0,34.74232773595831,4480.34959891385,132054.42145833332
32:AVWMS,9600,898,37,5927,669.1277566909816,0.0,34.650409849378995,4457.916142455144,131741.764375
64:AVWMS,9600,1775,43,11633,1344.1713419779417,0.0,34.72285016728457,4441.638749406591,130986.8878125
TOTAL,37200,801,33,11633,1007.019157936713,0.0,26.75056179775281,3433.4558764044946,131431.2141935484
