sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:Orthofoto,3000,158,27,801,94.01662165040581,1.0,6.30180609762758,1428.8579570772172,232179.557
2:Orthofoto,3000,159,25,1411,97.30676665748035,1.0,12.37266465954551,2805.3513667605785,232179.557
4:Orthofoto,2400,173,25,1566,110.37476141835923,1.0,22.310845859943665,5113.158692863319,234678.44
8:Orthofoto,4800,335,44,2786,215.68586335062756,1.0,23.241738288342816,5239.547733703546,230847.48708333334
16:Orthofoto,4800,630,49,25322,1478.3133961207277,1.0,23.061954981142048,5230.878968653158,232262.18541666667
32:Orthofoto,9600,1254,45,47078,3263.9918638098147,1.0,23.02241087808914,5227.669327040391,232518.36739583334
64:Orthofoto,9600,2478,41,64085,5865.603884754212,1.0,23.1616635864871,5238.531677947924,231600.65416666667
TOTAL,37200,1124,25,64085,3566.0392090632204,1.0,17.951657922472002,4069.234092774874,232117.59766129032
